SourceFile,FileName,DateTimeOriginal,GPSLatitude,GPSLongitude,AbsoluteAltitude,GimbalPitchDegree,FlightYawDegree
./images/task-ne/DJI_20251002120847_0345_D.JPG,DJI_20251002120847_0345_D.JPG,2025:10:02 12:08:47,"8 deg 17' 39.30"" S","115 deg 27' 42.59"" E",+1131.876,-80.00,-90.10
./images/task-ne/DJI_20251002121051_0407_D.JPG,DJI_20251002121051_0407_D.JPG,2025:10:02 12:10:51,"8 deg 17' 41.82"" S","115 deg 27' 44.31"" E",+1126.876,-80.00,-89.80
./images/task-ne/DJI_20251002115721_0002_D.JPG,DJI_20251002115721_0002_D.JPG,2025:10:02 11:57:21,"8 deg 17' 26.69"" S","115 deg 27' 59.68"" E",+1038.776,-80.00,-12.60
./images/task-ne/DJI_20251002124708_0496_D.JPG,DJI_20251002124708_0496_D.JPG,2025:10:02 12:47:08,"8 deg 17' 43.08"" S","115 deg 27' 57.61"" E",+1060.782,-80.00,+89.50
./images/task-ne/DJI_20251002120453_0228_D.JPG,DJI_20251002120453_0228_D.JPG,2025:10:02 12:04:53,"8 deg 17' 35.53"" S","115 deg 27' 43.83"" E",+1097.076,-80.00,+89.80
./images/task-ne/DJI_20251002120905_0354_D.JPG,DJI_20251002120905_0354_D.JPG,2025:10:02 12:09:05,"8 deg 17' 40.65"" S","115 deg 27' 40.95"" E",+1110.276,-80.00,+88.90
./images/task-ne/DJI_20251002120829_0336_D.JPG,DJI_20251002120829_0336_D.JPG,2025:10:02 12:08:29,"8 deg 17' 39.30"" S","115 deg 27' 49.11"" E",+1099.076,-80.00,-89.80
./images/task-ne/DJI_20251002115903_0053_D.JPG,DJI_20251002115903_0053_D.JPG,2025:10:02 11:59:03,"8 deg 17' 27.99"" S","115 deg 27' 53.53"" E",+1065.176,-80.00,+90.80
./images/task-ne/DJI_20251002120505_0234_D.JPG,DJI_20251002120505_0234_D.JPG,2025:10:02 12:05:05,"8 deg 17' 35.53"" S","115 deg 27' 48.29"" E",+1086.776,-80.00,+89.80
./images/task-ne/DJI_20251002120857_0350_D.JPG,DJI_20251002120857_0350_D.JPG,2025:10:02 12:08:57,"8 deg 17' 39.79"" S","115 deg 27' 39.63"" E",+1121.876,-80.00,-155.70
